HLSIN MEDIDOR (Limitado) HABITADO-EN CONSTRUCCION             11111CONNNNIRNNNNFTNNNNETNNNN
HPNO PERMITIERON ACCESO-HABITADO-EN CONSTRUCCION              11111CONNNNIRNNNNFTNNNNETNNNN
HRSIN MEDIDOR (Retirado) HABITADO-EN CONSTRUCCION             11111CONNNNIRNNNNFTNNNNETNNNN
HSSIN MEDIDOR (No Instalado) HABITADO-EN CONSTRUCCION         11111CONNNNIRNNNNFTNNNNETNNNN
HVVIDRIO IMPIDE LECTURA HABITADO-EN CONSTRUCCION              11111CONNNNIRNNNNFTNNNNETNNNN
IAINFORME ACTA- USUARIOS                                      11111CONNNNIRNNNNFTNNNNETNNNN
IFFUGA ANTES DEL MEDIDOR-MEDIDOR INCLINADO                    11111CONNNNIRNNNNFTNNNNETNNNN
ACFUGA ANTES DEL MEDIDOR-PREDIO CERRADO                       11111CONNNNIRNNNNFTNNNNETNNNN
ADFUGA ANTES DEL MEDIDOR-MEDIDOR DESTRUIDO                    11111CONNNNIRNNNNFTNNNNETNNNN
IMTIPO DE USO DIFERENTE-MEDIDOR INCLINADO                     11111CONNNNIRNNNNFTNNNNETNNNN
ISMEDIDOR INVERTIDO CON SELLOS FUGA DESPUES DEL MEDIDOR       11111CONNNNIRNNNNFTNNNNETNNNN
ANFUGA ANTES DEL MEDIDOR-NO PERMITIERON ACCESO                11111CONNNNIRNNNNFTNNNNETNNNN
AOFUGA ANTES DEL MEDIDOR-OBSTACULO                            11111CONNNNIRNNNNFTNNNNETNNNN
ARFUGA ANTES DEL MEDIDOR-SIN MEDIDOR (Retirado)               11111CONNNNIRNNNNFTNNNNETNNNN
RCUSUARIO LIMITADO RECONECTADO-MEDIDOR CAMBIADO               11111CONNNNIRNNNNFTNNNNETNNNN
ASFUGA ANTES DEL MEDIDOR-SIN MEDIDOR (No Instalado)           11111CONNNNIRNNNNFTNNNNETNNNN
RDUSUARIO LIMITADO RECONECTADO-VIDRIO DIFICULTA LECTURA       11111CONNNNIRNNNNFTNNNNETNNNN
RFFUGA ANTES DEL MEDIDOR-VIDRIO ROTO                          11111CONNNNIRNNNNFTNNNNETNNNN
RIUSUARIO LIMITADO RECONECTADO-MEDIDOR INCLINADO              11111CONNNNIRNNNNFTNNNNETNNNN
RLUSUARIO LIMITADO RECONECTADO                                11111CONNNNIRNNNNFTNNNNETNNNN
RMVIDRIO IMPIDE LECTURA - DESHABITADO - SOLAR BALDIO          11111CONNNNIRNNNNFTNNNNETNNNN
ROMEDIDOR DESTRUIDO                                           11111CONNNNIRNNNNFTNNNNETNNNN
22LECTURA RECUPERADA                                          11111CONNNNIRNNNNFTNNNNETNNNN
RRUSUARIO LIMITADO RECONECTADO-VIDRIO ROTO                    11111CONNNNIRNNNNFTNNNNETNNNN
RVUSUARIO LIMITADO RECONECTADO-SELLOS VIOLADOS                11111CONNNNIRNNNNFTNNNNETNNNN
BJLIQUIDACION BAJA                                            11111CONNNNIRNNNNFTNNNNETNNNN
SESIN MEDIDOR (NO INSTALADO)                                  11111CONNNNIRNNNNFTNNNNETNNNN
SLSERVICIO LIMITADO                                           11111CONNNNIRNNNNFTNNNNETNNNN
SMSIN MEDIDOR (Retirado) DESHABITADO-SOLAR BALDIO             11111CONNNNIRNNNNFTNNNNETNNNN
CBCONSUMO BAJO                                                11111CONNNNIRNNNNFTNNNNETNNNN
SRSIN MEDIDOR (Retirado)                                      11111CONNNNIRNNNNFTNNNNETNNNN
CDCERRADO                                                     11111CONNNNIRNNNNFTNNNNETNNNN
CECONSUMO EXCESIVO                                            11111CONNNNIRNNNNFTNNNNETNNNN
CFFATIGA                                                      11111CONNNNIRNNNNFTNNNNETNNNN
SVSELLOS VOLADOS                                              11111CONNNNIRNNNNFTNNNNETNNNN
CHMEDIDOR CAMBIADO - DESHABITADO - BALDIO                     11111CONNNNIRNNNNFTNNNNETNNNN
CMTIPO DE USO DIFERENTE-MEDIDOR CAMBIADO                      11111CONNNNIRNNNNFTNNNNETNNNN
CNCONSUMO NEGATIVO                                            11111CONNNNIRNNNNFTNNNNETNNNN
COEN CONSTRUCCION                                             11111CONNNNIRNNNNFTNNNNETNNNN
CPCONTRATO EN PROCESO DE ACLARACIÓN                           11111CONNNNIRNNNNFTNNNNETNNNN
TCTIPO DE USO DIFERENTE-PREDIO CERRADO                        11111CONNNNIRNNNNFTNNNNETNNNN
TDTIPO DE USO DIFERENTE-MEDIDOR DESTRUIDO                     11111CONNNNIRNNNNFTNNNNETNNNN
LCUSUARIO LIMITADO RECONECTADO-PREDIO CERRADO                 11111CONNNNIRNNNNFTNNNNETNNNN
LDUSUARIO LIMITADO RECONECTADO-MEDIDOR DESTRUIDO              11111CONNNNIRNNNNFTNNNNETNNNN
TMPREDIO CERRADO - DESHABITADO                                11111CONNNNIRNNNNFTNNNNETNNNN
LFFUGA ANTES DEL MEDIDOR-SELLOS VIOLADOS                      11111CONNNNIRNNNNFTNNNNETNNNN
TNTIPO DE USO DIFERENTE-NO PERMITIERON ACCESO                 11111CONNNNIRNNNNFTNNNNETNNNN
TOTIPO DE USO DIFERENTE-OBSTACULO                             11111CONNNNIRNNNNFTNNNNETNNNN
LIUSUARIO LIMITADO RECONECTADO-OBSTACULO                      11111CONNNNIRNNNNFTNNNNETNNNN
TRTIPO DE USO DIFERENTE-SIN MEDIDOR (Retirado)                11111CONNNNIRNNNNFTNNNNETNNNN
DCFUGA DESPUES DEL MEDIDOR-PREDIO CERRADO                     11111CONNNNIRNNNNFTNNNNETNNNN
TSTIPO DE USO DIFERENTE-SIN MEDIDOR (No Instalado)            11111CONNNNIRNNNNFTNNNNETNNNN
DDFUGA DESPUES DEL MEDIDOR-MEDIDOR DESTRUIDO                  11111CONNNNIRNNNNFTNNNNETNNNN
TUTIPO DE USO DIFERENTE                                       11111CONNNNIRNNNNFTNNNNETNNNN
DFDEFECTO FABRICACIÓN                                         11111CONNNNIRNNNNFTNNNNETNNNN
LNUSUARIO LIMITADO RECONECTADO-NO PERMITIERON ACCESO          11111CONNNNIRNNNNFTNNNNETNNNN
DHDESHABITADO - SOLAR BALDIO                                  11111CONNNNIRNNNNFTNNNNETNNNN
LRUSUARIO LIMITADO RECONECTADO-SIN MEDIDOR (Retirado)         11111CONNNNIRNNNNFTNNNNETNNNN
